timestamp,date,word_id,level,is_correct
2026-02-01 20:40:02,2026-02-01,6,1,0
2026-02-01 20:40:59,2026-02-01,6,1,1
2026-02-01 20:41:03,2026-02-01,85,3,1
2026-02-01 20:41:08,2026-02-01,19,1,1
2026-02-01 20:41:13,2026-02-01,37,1,1
2026-02-01 20:41:23,2026-02-01,1,1,1
2026-02-01 20:41:39,2026-02-01,12,1,1
2026-02-01 20:41:43,2026-02-01,27,1,1
2026-02-01 20:41:52,2026-02-01,83,3,1
2026-02-01 20:42:00,2026-02-01,56,2,1
2026-02-01 20:45:42,2026-02-01,84,3,1
2026-02-01 20:45:49,2026-02-01,40,1,1
2026-02-01 20:45:58,2026-02-01,63,2,1
2026-02-01 20:46:06,2026-02-01,23,1,1
2026-02-01 20:46:10,2026-02-01,68,2,1
2026-02-01 20:46:15,2026-02-01,66,2,1
2026-02-01 20:46:28,2026-02-01,53,2,1
2026-02-01 20:46:32,2026-02-01,87,3,0
2026-02-01 20:46:41,2026-02-01,26,1,1
2026-02-01 20:46:45,2026-02-01,99,3,1
2026-02-01 20:46:49,2026-02-01,91,3,1
2026-02-01 20:46:56,2026-02-01,4,1,1
2026-02-01 20:47:00,2026-02-01,13,1,1
2026-02-01 20:47:05,2026-02-01,24,1,0
2026-02-01 20:47:12,2026-02-01,17,1,1
2026-02-01 20:47:20,2026-02-01,16,1,1
2026-02-01 20:47:28,2026-02-01,87,3,1
2026-02-01 20:47:29,2026-02-01,24,1,0
2026-02-01 20:47:37,2026-02-01,24,1,0
2026-02-01 20:47:45,2026-02-01,24,1,1
2026-02-01 20:47:56,2026-02-01,24,1,1
2026-02-01 20:48:02,2026-02-01,87,3,1
2026-02-01 20:48:09,2026-02-01,65,2,1
2026-02-01 20:50:39,2026-02-01,44,1,1
2026-02-01 20:50:44,2026-02-01,11,1,1
2026-02-01 20:50:48,2026-02-01,52,2,1
2026-02-01 20:50:55,2026-02-01,50,2,1
2026-02-01 20:51:02,2026-02-01,81,2,1
2026-02-01 20:51:08,2026-02-01,5,1,1
2026-02-01 20:51:15,2026-02-01,8,1,1
2026-02-01 20:51:23,2026-02-01,28,1,1
2026-02-01 20:51:29,2026-02-01,20,1,1
2026-02-01 20:51:39,2026-02-01,48,1,1
2026-02-01 20:51:45,2026-02-01,76,2,1
2026-02-01 20:51:51,2026-02-01,2,1,1
